DOB,AGE,INSTAGRAM [SPENT TIME(IN HOURS)],WHATS APP [SPENT TIME(IN HOURS)],LinkedIn [SPENT TIME(IN HOURS)],FACEBOOK [SPENT TIME(IN HOURS)],SNAPCHAT [SPENT TIME(IN HOURS)],TWITTER [SPENT TIME(IN HOURS)],SLEEP DURATION,SCREEN TIME,SEX,SMDY,RBUP,WUSMP,SMNDT,SUSMH,SMISC,RIFF
28-06-2000,23,3,1,1,1,1,2,7,2,Female,NOT DISTRACTED,LinkedIn,Information sharing,Yes,Lazy,Negative Impact,Negative Impact
28-04-2004,20,4,3,3,0,2,2,8,4,Male,NOT DISTRACTED,Instagram,Enterntainment,No,Demotivate,Negative Impact,Positive Impact
15-12-2004,19,2,1,1,0,3,1,8,3,Female,NOT DISTRACTED,whatsapp,Information sharing,Yes,Anxiety,Positive impact,Positive Impact
31-12-2004,19,3,1,1,2,2,4,5,3,Male,NOT DISTRACTED,LinkedIn,Information sharing,Yes,Self-conscious,Positive impact,Negative Impact
15-07-2005,18,2,2,2,2,2,1,7,2,Female,NOT DISTRACTED,Instagram,Personal Branding,Yes,Anxiety,Positive impact,Positive Impact
10-10-2005,18,1,2,2,1,1,3,7,4,Male,NOT DISTRACTED,facebook,Personal Branding,Yes,Self-conscious,Positive impact,Negative Impact
17-12-1998,25,3,1,3,3,3,1,7,4,Male,ALWAYS DISTRACTED,twitter,Information sharing,No,Demotivate,Negative Impact,Negative Impact
25-10-2004,19,2,2,2,2,2,1,5,3,Female,ALWAYS DISTRACTED,snapchat,Enterntainment,Yes,Lazy,Negative Impact,No change
03-12-2000,23,3,2,2,2,2,2,7,4,Male,ALWAYS DISTRACTED,snapchat,Enterntainment,No,Lonliness,Positive impact,No change
25-12-2002,21,4,3,3,0,3,2,7,3,Male,ALWAYS DISTRACTED,Instagram,Enterntainment,No,Inspired,No impact,Positive Impact
29-08-2003,20,2,2,2,2,2,1,7,2,Female,ALWAYS DISTRACTED,Instagram,Enterntainment,No,Self-conscious,Negative Impact,Positive Impact
12-11-2002,21,3,2,2,1,2,0,7,4,Male,ALWAYS DISTRACTED,facebook,Enterntainment,Yes,Demotivate,No impact,Positive Impact
08-07-2002,21,1,1,1,1,1,0,7,1,Female,NOT DISTRACTED,LinkedIn,Information sharing,No,Anxiety,Negative Impact,Negative Impact
02-11-1979,44,2,2,2,2,2,0,7,4,Male,NOT DISTRACTED,snapchat,Enterntainment,No,Self-conscious,Negative Impact,No change
12-08-2004,19,3,3,3,3,3,1,7,4,Female,NOT DISTRACTED,snapchat,Enterntainment,Yes,Demotivate,Positive impact,No change
05-11-2004,19,3,3,1,3,3,1,8,4,Male,NOT DISTRACTED,Instagram,Enterntainment,Yes,Lazy,No impact,Positive Impact
11-05-2004,19,4,4,3,4,4,2,5,4,Male,ALWAYS DISTRACTED,Instagram,Enterntainment,No,Lonliness,Negative Impact,Negative Impact
01-07-1983,40,3,3,1,3,3,2,7,2,Male,NOT DISTRACTED,facebook,Information sharing,Yes,Inspired,Positive impact,Positive Impact
22-06-1999,24,2,2,1,2,2,1,8,4,Male,ALWAYS DISTRACTED,LinkedIn,Learning,No,Anxiety,Negative Impact,Positive Impact
09-12-1967,56,4,2,2,2,4,0,8,4,Female,NOT DISTRACTED,twitter,Information sharing,Yes,Lonliness,Positive impact,Negative Impact
01-01-1991,33,2,2,2,0,2,0,7,4,Male,NOT DISTRACTED,whatsapp,Information sharing,Yes,Self-conscious,Positive impact,Negative Impact
06-01-2004,20,3,3,3,2,3,0,7,4,Male,SOMETIMES DISTRACTED,whatsapp,Quote Sharing,Yes,Inspired,Positive impact,No change
08-06-2002,21,3,2,3,1,3,2,7,4,Female,SOMETIMES DISTRACTED,whatsapp,Information sharing,Yes,Demotivate,Positive impact,No change
16-12-2003,20,4,2,4,1,4,2,7,4,Female,ALWAYS DISTRACTED,facebook,Enterntainment,No,Self-conscious,Negative Impact,Positive Impact
31-05-2005,18,3,3,3,2,3,1,7,4,Male,NOT DISTRACTED,LinkedIn,Learning,No,Demotivate,No impact,Negative Impact
27-12-2003,20,3,3,3,3,3,4,8,3,Female,SOMETIMES DISTRACTED,snapchat,Enterntainment,Yes,Lazy,Positive impact,No change
06-10-2004,19,2,2,2,2,2,1,8,3,Female,NOT DISTRACTED,snapchat,Sharing Content,No,Lonliness,Positive impact,No change
12-11-2005,18,2,2,2,2,2,1,7,2,Male,SOMETIMES DISTRACTED,Instagram,Sharing Content,Yes,Inspired,Negative Impact,Positive Impact
19-01-2005,19,3,4,4,4,4,0,5,4,Male,ALWAYS DISTRACTED,Instagram,Sharing Content,Yes,Anxiety,Positive impact,Negative Impact
16-08-2005,18,4,3,3,3,3,0,7,3,Male,ALWAYS DISTRACTED,facebook,Sharing Content,Yes,Lonliness,No impact,Positive Impact
16-01-2005,19,2,2,2,2,2,2,7,3,Male,ALWAYS DISTRACTED,LinkedIn,Learning,Yes,Self-conscious,Positive impact,Positive Impact
09-09-2000,23,3,3,3,2,3,2,7,3,Female,SOMETIMES DISTRACTED,twitter,Information sharing,Yes,Inspired,No impact,Negative Impact
04-07-2005,18,2,3,3,0,3,1,7,2,Female,SOMETIMES DISTRACTED,whatsapp,Sharing Content,Yes,Demotivate,No impact,Negative Impact
04-07-2002,21,1,3,3,2,3,3,7,3,Female,SOMETIMES DISTRACTED,whatsapp,Information sharing,Yes,Lazy,No impact,Positive Impact
15-02-2005,19,3,3,3,1,3,2,7,3,Male,SOMETIMES DISTRACTED,whatsapp,Information sharing,Yes,Demotivate,No impact,Positive Impact
